"STT","Số vé","Ngày sử dụng","Tên loại vé","Cổng check - in","Tình trạng"
"1","113456789001","01/03/2022","Vé cổng","Cổng 1","Đã đối soát"
"2","123456789002","10/08/2022","Vé cổng","Cổng 1","Đã đối soát"
"3","133456789003","05/04/2022","Vé cổng","Cổng 3","Chưa đối soát"
"4","143456789004","08/04/2022","Vé cổng","Cổng 4","Đã đối soát"
"5","153456789005","05/04/2022","Vé cổng","Cổng 5","Đã đối soát"
"6","163456789006","13/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"7","173456789007","30/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"8","183456789008","13/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"9","123456789034","13/04/2022","Vé cổng","Cổng 4","Đã đối soát"
"10","123456789034","26/04/2022","Vé cổng","Cổng 5","Chưa đối soát"
"11","123456789034","01/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"12","123456789034","02/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"13","123456789034","03/04/2022","Vé cổng","Cổng 1","Chưa đối soát"
"14","123456789034","04/04/2022","Vé cổng","Cổng 4","Đã đối soát"
"15","123456789034","05/04/2022","Vé cổng","Cổng 5","Chưa đối soát"
"16","123456789034","06/04/2022","Vé cổng","Cổng 1","Chưa đối soát"
"17","123456789034","07/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"18","123456789034","08/04/2022","Vé cổng","Cổng 1","Chưa đối soát"
"19","123456789034","09/04/2022","Vé cổng","Cổng 4","Đã đối soát"
"20","123456789034","10/04/2022","Vé cổng","Cổng 5","Chưa đối soát"
"21","123456789034","11/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"22","123456789034","12/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"23","123456789034","12/04/2022","Vé cổng","Cổng 1","Chưa đối soát"
"24","123456789034","13/04/2022","Vé cổng","Cổng 4","Đã đối soát"
"25","123456789034","14/04/2022","Vé cổng","Cổng 5","Chưa đối soát"
"26","123456789034","15/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"27","123456789034","16/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"28","123456789034","17/04/2022","Vé cổng","Cổng 1","Chưa đối soát"
"29","123456789034","18/04/2022","Vé cổng","Cổng 4","Đã đối soát"
"30","123456789034","19/04/2022","Vé cổng","Cổng 5","Chưa đối soát"
"31","123456789034","19/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"32","123456789034","19/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"33","123456789034","19/04/2022","Vé cổng","Cổng 1","Chưa đối soát"
"34","123456789034","19/04/2022","Vé cổng","Cổng 4","Đã đối soát"
"35","123456789034","19/04/2022","Vé cổng","Cổng 5","Chưa đối soát"
"36","123456789034","19/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"37","123456789034","19/04/2022","Vé cổng","Cổng 1","Đã đối soát"
"38","123456789034","09/04/2022","Vé cổng","Cổng 1","Chưa đối soát"
"39","123456789034","23/04/2022","Vé cổng","Cổng 4","Đã đối soát"
"40","123456789034","09/04/2022","Vé cổng","Cổng 5","Chưa đối soát"
"41","123456789034","09/04/2022","Vé cổng","Cổng 5","Chưa đối soát"
"42","123456789034","16/04/2022","Vé cổng","Cổng 5","Chưa đối soát"
"43","123456789034","15/07/2022","Vé cổng","Cổng 5","Chưa đối soát"
"44","123456789034","26/08/2022","Vé cổng","Cổng 5","Chưa đối soát"
"45","123456789034","28/02/2023","Vé cổng","Cổng 5","Chưa đối soát"
"46","123456789034","14/04/2021","Vé cổng","Cổng 5","Chưa đối soát"
"47","123456789034","14/04/2021","Vé cổng","Cổng 5","Chưa đối soát"
"48","123456789034","14/04/2021","Vé cổng","Cổng 5","Chưa đối soát"
