"STT","Booking Code","Số vé","Tên sự kiện","Tình trạng sử dụng","Ngày sử dụng","Ngày xuất vé","Cổng check - in"
"1","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 1"
"2","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"3","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 3"
"4","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 4"
"5","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"6","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 1"
"7","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"8","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 3"
"9","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 4"
"10","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"11","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 1"
"12","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"13","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 3"
"14","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 4"
"15","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"16","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"17","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"18","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 3"
"19","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 4"
"20","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"21","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 1"
"22","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"23","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 3"
"24","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 4"
"25","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 1"
"26","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 1"
"27","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"28","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 3"
"29","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 4"
"30","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"31","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 1"
"32","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"33","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 3"
"34","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 4"
"35","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"36","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 1"
"37","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"38","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 3"
"39","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 4"
"40","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"41","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 1"
"42","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 2"
"43","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 3"
"44","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 4"
"45","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"46","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"47","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
"48","ALT20210501","123456789034","Hội chợ triển lãm tiêu dùng 2022","Hết hạn","","","Cổng 5"
