"STT","Booking Code","Số vé","Tình trạng sử dụng","Ngày sử dụng","Ngày xuất vé","Cổng check - in"
"1","ALTFGHJU","113456789001","Hết hạn","01/03/2022","14/04/2021","Cổng 1"
"2","ALTFGHJU","123456789002","Hết hạn","10/08/2022","14/04/2021","Cổng 1"
"3","ALTFGHJU","133456789003","Hết hạn","05/04/2022","14/04/2021","Cổng 3"
"4","ALTFGHJU","143456789004","Hết hạn","08/04/2022","14/04/2021","Cổng 4"
"5","ALTFGHJU","153456789005","Hết hạn","05/04/2022","14/04/2021","Cổng 5"
"6","ALTFGHJU","163456789006","Hết hạn","13/04/2022","14/04/2021","Cổng 1"
"7","ALTFGHJU","173456789007","Hết hạn","30/04/2022","14/04/2021","Cổng 1"
"8","ALTFGHJU","183456789008","Hết hạn","13/04/2022","14/04/2021","Cổng 1"
"9","ALTFGHJU","123456789034","Hết hạn","13/04/2022","14/04/2021","Cổng 4"
"10","ALTFGHJU","123456789034","Hết hạn","26/04/2022","14/04/2021","Cổng 5"
"11","ALTFGHJU","123456789034","Hết hạn","01/04/2022","14/04/2021","Cổng 1"
"12","ALTFGHJU","123456789034","Hết hạn","02/04/2022","14/04/2021","Cổng 1"
"13","ALTFGHJU","123456789034","Hết hạn","03/04/2022","14/04/2021","Cổng 1"
"14","ALTFGHJU","123456789034","Hết hạn","04/04/2022","14/04/2021","Cổng 4"
"15","ALTFGHJU","123456789034","Hết hạn","05/04/2022","14/04/2021","Cổng 5"
"16","ALTFGHJU","123456789034","Hết hạn","06/04/2022","14/04/2021","Cổng 1"
"17","ALTFGHJU","123456789034","Hết hạn","07/04/2022","14/04/2021","Cổng 1"
"18","ALTFGHJU","123456789034","Hết hạn","08/04/2022","14/04/2021","Cổng 1"
"19","ALTFGHJU","123456789034","Hết hạn","09/04/2022","14/04/2021","Cổng 4"
"20","ALTFGHJU","123456789034","Hết hạn","10/04/2022","14/04/2021","Cổng 5"
"21","ALTFGHJU","123456789034","Hết hạn","11/04/2022","14/04/2021","Cổng 1"
"22","ALTFGHJU","123456789034","Hết hạn","12/04/2022","14/04/2021","Cổng 1"
"23","ALTFGHJU","123456789034","Hết hạn","12/04/2022","14/04/2021","Cổng 1"
"24","ALTFGHJU","123456789034","Hết hạn","13/04/2022","14/04/2021","Cổng 4"
"25","ALTFGHJU","123456789034","Hết hạn","14/04/2022","14/04/2021","Cổng 5"
"26","ALTFGHJU","123456789034","Hết hạn","15/04/2022","14/04/2021","Cổng 1"
"27","ALTFGHJU","123456789034","Hết hạn","16/04/2022","14/04/2021","Cổng 1"
"28","ALTFGHJU","123456789034","Hết hạn","17/04/2022","14/04/2021","Cổng 1"
"29","ALTFGHJU","123456789034","Hết hạn","18/04/2022","14/04/2021","Cổng 4"
"30","ALTFGHJU","123456789034","Hết hạn","19/04/2022","14/04/2021","Cổng 5"
"31","ALTFGHJU","123456789034","Hết hạn","19/04/2022","14/04/2021","Cổng 1"
"32","ALTFGHJU","123456789034","Hết hạn","19/04/2022","14/04/2021","Cổng 1"
"33","ALTFGHJU","123456789034","Hết hạn","19/04/2022","14/04/2021","Cổng 1"
"34","ALTFGHJU","123456789034","Hết hạn","19/04/2022","14/04/2021","Cổng 4"
"35","ALTFGHJU","123456789034","Hết hạn","19/04/2022","14/04/2021","Cổng 5"
"36","ALTFGHJU","123456789034","Hết hạn","19/04/2022","14/04/2021","Cổng 1"
"37","ALTFGHJU","123456789034","Hết hạn","19/04/2022","14/04/2021","Cổng 1"
"38","ALTFGHJU","123456789034","Hết hạn","09/04/2022","14/04/2021","Cổng 1"
"39","ALTFGHJU","123456789034","Hết hạn","23/04/2022","14/04/2021","Cổng 4"
"40","ALTFGHJU","123456789034","Hết hạn","09/04/2022","14/04/2021","Cổng 5"
"41","ALTFGHJU","123456789034","Hết hạn","09/04/2022","14/04/2021","Cổng 5"
"42","ALTFGHJU","123456789034","Hết hạn","16/04/2022","14/04/2021","Cổng 5"
"43","ALTFGHJU","123456789034","Hết hạn","15/07/2022","14/04/2021","Cổng 5"
"44","ALTFGHJU","123456789034","Hết hạn","26/08/2022","14/04/2021","Cổng 5"
"45","ALTFGHJU","123456789034","Hết hạn","28/02/2023","14/04/2021","Cổng 5"
"46","ALTFGHJU","123456789034","Hết hạn","14/04/2021","14/04/2021","Cổng 5"
"47","ALTFGHJU","123456789034","Hết hạn","14/04/2021","14/04/2021","Cổng 5"
"48","ALTFGHJU","123456789034","Hết hạn","14/04/2021","14/04/2021","Cổng 5"
